time,persona,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
2011,0,0.095344947,0.214230949,0.063456024,0.060055956,0.157116999,0.042675472,0.095616029,0.104502511,0.036492026,0.013433215,0.117075874
2011,1,0.098445109,0.021625806,0.077457163,0.093484925,0.079905925,0.127433142,0.092988557,0.094424695,0.107728873,0.134211294,0.072294511
2011,2,0.073520346,0.055824053,0.087092875,0.078346988,0.08267956,0.117081624,0.111868871,0.109879022,0.084301911,0.112704893,0.086699857
2011,3,0.055441489,0.181507052,0.196579377,0.121334339,0.070819251,0.012860288,0.066937999,0.029961128,0.103920082,0.046501869,0.114137125
2012,0,0.082359307,0.204757531,0.075042506,0.057367655,0.149294747,0.047784867,0.103584526,0.105910013,0.035898884,0.020850881,0.117149084
2012,1,0.107632884,0.034261503,0.073558716,0.099541497,0.09216714,0.118059538,0.081250642,0.085758892,0.108129554,0.127852387,0.071787246
2012,2,0.064728216,0.090171211,0.094292895,0.070209264,0.093686235,0.101290106,0.11662744,0.111199269,0.069744779,0.09202501,0.096025574
2012,3,0.055128036,0.184884446,0.175868265,0.114558728,0.085341812,0.019205941,0.072094382,0.044742768,0.091531125,0.043943982,0.112700514
2013,0,0.078439498,0.192128671,0.080484629,0.05889452,0.143744944,0.053067112,0.10486558,0.103983091,0.039777261,0.030067166,0.114547528
2013,1,0.111923442,0.051177693,0.070639397,0.101175985,0.107628244,0.108379498,0.073868532,0.079801084,0.103287457,0.119265555,0.072853114
2013,2,0.063994045,0.108368082,0.096892762,0.068149897,0.101069646,0.091556111,0.115385934,0.109693443,0.063749048,0.081052999,0.100088033
2013,3,0.061678344,0.181988678,0.159788457,0.118987983,0.094822179,0.022894818,0.06646227,0.049129923,0.090380774,0.046164681,0.107701894
2014,0,0.082158831,0.173959991,0.07969608,0.065169914,0.140226355,0.06018412,0.10018711,0.098344145,0.048602498,0.042929437,0.108541518
2014,1,0.112622137,0.074487022,0.06877764,0.098892845,0.127757053,0.096542089,0.069229942,0.075560334,0.093058064,0.107413441,0.075659433
2014,2,0.070765886,0.110402325,0.09380339,0.071862904,0.105899031,0.089020742,0.108807642,0.105578024,0.065701874,0.079506581,0.098651602
2014,3,0.074460343,0.170271535,0.143006808,0.130224753,0.101822187,0.029271232,0.054074329,0.048548957,0.096491548,0.05266493,0.099163379
2015,0,0.077991064,0.157454696,0.085287416,0.061632997,0.124755813,0.068318842,0.108016758,0.101197474,0.054117141,0.052564964,0.108662835
2015,1,0.110654793,0.089540394,0.070738789,0.09136666,0.135317797,0.089063675,0.073166512,0.078754039,0.083304142,0.096833196,0.081260004
2015,2,0.079422187,0.120045972,0.086183784,0.077776747,0.123960916,0.083207691,0.096913214,0.098156829,0.063683538,0.075167977,0.095481145
2015,3,0.080183949,0.162217861,0.136826986,0.137515644,0.097898111,0.033388923,0.048336962,0.050952705,0.102129261,0.055138683,0.095410914
